"","X","id","usernames","content.x","joined","timeout","clean_content","id_chat","channel","content_chat"
"1",1,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J450VH21H977FN58CG5K512G","01H261HJTJ4K6RM2WWGW5PS40E","read the bible G"
"2",2,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3WC4B930ZBTC9EK94P8FD98","01H261HJTJ4K6RM2WWGW5PS40E","GM G’s "
"3",3,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3SSAR5H663S1ZAQMAKRKTE1","01H261HJTJ4K6RM2WWGW5PS40E","GM "
"4",4,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3PPZ0BQY0PY8Z5B515TH3PQ","01H261HJTJ4K6RM2WWGW5PS40E","GM heroes "
"5",5,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3HK3ZHBRZYMXS2W1Q5J3M80","01H261HJTJ4K6RM2WWGW5PS40E","GM heroes "
"6",6,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3F32NA6JJTBZRFMQMA0XBG9","01H261HJTJ4K6RM2WWGW5PS40E","GM guys "
"7",7,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J3CECFX08GXG8DGT0SC954YV","01H261HJTJ4K6RM2WWGW5PS40E","GM heroes"
"8",8,"01HADCPPX8G568P6XZBMFMY05Y","Tiger_Fury","SWITZERLAND, 18. GYM, KARATE. CRYPTO TRADING + MARKETING AGENCY. ATTRACTING WHAT I ALREADY AM. ","2023-09-15T22:00:36.469Z",NA,"switzerland 18 gym karate crypto trading marketing agency attracting already ","01J1Y3HPV5NNVSVZJQJ320AQPN","01H261HJTJ4K6RM2WWGW5PS40E","GM gentlemen "
"9",9,"01GV167HYYFG0XXJ066Y0FBQZ9","niconaegelin11","21 /
Muay Thai Fighter / Swiss Millitary /
Former Michelin Star Chef /

Let`s WIN together my brothers!!
","2023-03-08T18:03:32.481Z","2024-07-17T10:14:20.335Z","21 muay thai fighter swiss millitary former michelin star chef lets win together brothers ","01J32BMHA94PMN82P4E7580PW0","01H261HJTJ4K6RM2WWGW5PS40E","do it now, Instantly. It takes 2 minutes"
"10",10,"01GV167HYYFG0XXJ066Y0FBQZ9","niconaegelin11","21 /
Muay Thai Fighter / Swiss Millitary /
Former Michelin Star Chef /

Let`s WIN together my brothers!!
","2023-03-08T18:03:32.481Z","2024-07-17T10:14:20.335Z","21 muay thai fighter swiss millitary former michelin star chef lets win together brothers ","01J2D8K64BJFVJEYBT7G8P86VF","01H261HJTJ4K6RM2WWGW5PS40E","<@01GJXA2XGTNDPV89R5W50MZ9RQ> "
