"","id","usernames","content.x","joined","timeout","clean_content","id.y","channel","content.y"
"1","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HWF61DTARAJT8R9JEHZFJJRY","01H261HJTJ4K6RM2WWGW5PS40E","Hey <@01GHGKMP5PD7ZXN27JV5MJF7S8>  hope you're doing well, I can't download the audio lessons anymore, just wanted to know if this is a bug or it's going to be permanent."
"2","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HTAMW5G7NW8P2BQ39D1XRYD1","01H261HJTJ4K6RM2WWGW5PS40E","Yes!"
"3","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HT5CHR667KTXBRG5GFV63DM0","01H261HJTJ4K6RM2WWGW5PS40E","✌️"
"4","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HSDNB7KRTYHBEXPFG9N18AEB","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"5","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HS6CT15AYQ96DEY93FWC8BM5","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"6","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HS4283T1S5V29HH84KGAZ9KG","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"7","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HS1DTE2SNSJ84G9MGGAFR1XT","01H261HJTJ4K6RM2WWGW5PS40E","GM G’s"
"8","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HRY6MJ2GJD5FYCDK0AX9C8VX","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"9","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HRW35D1VCCDYD0SHF60HMMET","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"10","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HRS52TKAFEX5Q55DG6ATJGF1","01H261HJTJ4K6RM2WWGW5PS40E","GM"
"11","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HRHNA7BX36D9XRY97T245T15","01H261HJTJ4K6RM2WWGW5PS40E","GM "
"12","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HR3YEVM0EC71NV3P4NAN7E6N","01H261HJTJ4K6RM2WWGW5PS40E","Today marks 31 days since I started the challenge. 

I didn’t have an addiction to social media, porn, or masturbation, but I did have one to cigarettes.

 After joining a program within the copywriting campus, Professor Andrew told us it was necessary to rid ourselves of bad habits. 

I had been smoking 🚬for over 5 years and had never attempted to quit. 

I knew the best thing I could do to quit was to join the PM challenge to keep myself accountable and  I’m proud to say I succeeded.

 Today, I’ve reached 31 days without smoking a single cigarette. 

Obviously, during these 31 days, I didn’t consume sugar or listen to music, (I used to listen to music when I showered).

I don’t plan on reverting to this bad habit, and I want to thank you <@01GHGKMP5PD7ZXN27JV5MJF7S8> for the challenge, all the advice, and motivation in the live sessions. 

You were right, cigarettes are very harmful, and you reminded me that everything I do is also for freedom.

You helped me break this habit, now, my physical condition has improved, and I feel better than ever. 💪💪

P.S.: At first, I only posted in #day1, then around day 3 or 4, I started posting in both channels, <#01HK3GPT0N56BJDCK7N6BA09G2> and on the corresponding days. 

After watching the live sessions, I realized those channels day 1, 2, 3, etc, weren’t for posting the to-do and no-to-do lists."
"13","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HR3ZE38X2401CKEM4QB156AB","01H261HJTJ4K6RM2WWGW5PS40E","Thanks G!"
"14","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HQTBVT8X6AD7DQ4VF35SGF55","01H261HJTJ4K6RM2WWGW5PS40E","Try to sleep before midnight Professor Alex talks about this on the fitness campus."
"15","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HQTBXDMQZZS53VW2JBKNZ8VQ","01H261HJTJ4K6RM2WWGW5PS40E","I tried and it worked for me! "
"16","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HPJHFWVEK6PGXR05T3FTNA8J","01H261HJTJ4K6RM2WWGW5PS40E","You say that you don't have anyone to live for, What about your family G ?"
"17","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HPJJJN65VMAJ70AVXEDCNZF7","01H261HJTJ4K6RM2WWGW5PS40E","Hypothetically, if I told you that tomorrow you would never see your family again, would you care?"
"18","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HPJJPCS420WMG3FZP970C0GQ","01H261HJTJ4K6RM2WWGW5PS40E","If you just started the answer is no, you need to put the reps. "
"19","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HPJMFT4PKGD1ECSTCQ94XWWH","01H261HJTJ4K6RM2WWGW5PS40E","Alright, look, I recommend this: evaluate what you've got - home, family, food, internet access - then think about folks who don't have that. There are countries torn by war. Picture a 19-year-old in Israel whose house just got blown up and has nothing, no food, nada like what you've got.

 Then, think of gratitude. Be thankful to life, the universe, God, luck, and whatever you believe in, just be grateful you're not in that situation. You should feel thankful for everything, from being alive today to having the chance to be here at TRW.

Now, what you gotta do is find your purpose. Finding your purpose is easy - you gotta think about love. Love is the strongest force in the universe, and by thinking about love, you can establish your life's mission. If you look at the folks here at TRW, like the professors, Ace, the Top G, etc. - I guarantee they're living their purpose. 

We as humans only truly grow when we dedicate ourselves to something bigger, something important, something better for us. In other words, we gotta dedicate ourselves to something that benefits others' lives. That's what Top G and the professors do - they strive to help us.

 And I can assure you, deep down, they all feel like they're living their purpose. It's an expression of love, believe it or not, they're literally changing lives. And if you look at any other successful man or woman, they're doing the same thing in their own way, and of course, by helping others, you always get a great reward.

Now, with all this talk about purpose and love, remember, you gotta have self-love. If you don't love yourself, you won't be able to feel or love others. So that's gotta be the first thing you work on - boosting your self-esteem. Then, I suggest setting goals, writing them down daily, not resting until you achieve them, and I guarantee you won't feel like this again. On the contrary, you'll feel full of love.

One very important thing - the opposite of love is fear. Keep that in mind. And once you can express love for yourself and others, comes bravery, honor, and a whole bunch of positive values. From the bottom of my heart, I hope this message, which is a summary of many of my own experiences that have helped me in my life, can help you too.
"
"20","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HNWD6WW7QNJZ3MWXXZJVASJ3","01H261HJTJ4K6RM2WWGW5PS40E","GM Heroes "
"21","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HNM64KE4BG6P2C9C1JD24B4S","01H261HJTJ4K6RM2WWGW5PS40E","GN!"
"22","01GN4GEPBTA1JNZX64PTCAX7BG","Andrés | ASM","FULLY AWARE OF MY ABILITY TO WIN!","2022-12-25T12:24:23.982Z",NA,"fully aware ability win","01HNM42EJFQ7N13W82N9MAN1EB","01H261HJTJ4K6RM2WWGW5PS40E","I want to make as many positive changes in my life as possible, so I decided to join this challenge.

I have 2 habits that don't bring anything good into my life – smoking (I've been smoking cigarettes for 5 years) and sugar. So, I commit 100% to this challenge starting now."
